"","county","hrr","cntyname","hrrname","pop10","afact","county.y","state","cases","deaths","countypop","hrrpop","countycaserate","countydeathrate","countycaserate100k","countydeathrate100k"
"1099","18071","183","Jackson IN","IN- INDIANAPOLIS",42376,1,"Jackson","IN",10,0,42376,2852404,0.000235982631678308,0,23.5982631678308,0
"1100","18073","184","Jasper IN","IN- LAFAYETTE",14322,0.428,"Jasper","IN",9,1,33478,242737,0.000268833263635821,2.98703626262023e-05,26.8833263635821,2.98703626262023
"1101","18073","181","Jasper IN","IN- GARY",19156,0.572,"Jasper","IN",9,1,33478,529009,0.000268833263635821,2.98703626262023e-05,26.8833263635821,2.98703626262023
"1102","18075","185","Jay IN","IN- MUNCIE",4518,0.213,"Jay","IN",1,0,21253,168738,4.70521808685833e-05,0,4.70521808685833,0
"1103","18075","180","Jay IN","IN- FORT WAYNE",16735,0.787,"Jay","IN",1,0,21253,866605,4.70521808685833e-05,0,4.70521808685833,0
"1104","18077","205","Jefferson IN","KY- LOUISVILLE",32428,1,"Jefferson","IN",1,0,32428,1761589,3.08375477981991e-05,0,3.08375477981991,0
"1105","18079","205","Jennings IN","KY- LOUISVILLE",218,0.008,"Jennings","IN",17,0,28525,1761589,0.000595968448729185,0,59.5968448729185,0
"1106","18079","183","Jennings IN","IN- INDIANAPOLIS",28307,0.992,"Jennings","IN",17,0,28525,2852404,0.000595968448729185,0,59.5968448729185,0
"1107","18081","183","Johnson IN","IN- INDIANAPOLIS",139654,1,"Johnson","IN",118,3,139654,2852404,0.000844945364973434,2.14816618213585e-05,84.4945364973434,2.14816618213585
"1108","18083","179","Knox IN","IN- EVANSVILLE",38440,1,"Knox","IN",3,0,38440,682402,7.80437044745057e-05,0,7.80437044745057,0
"1109","18085","180","Kosciusko IN","IN- FORT WAYNE",61026,0.789,"Kosciusko","IN",5,0,77358,866605,6.4634556219137e-05,0,6.4634556219137,0
"1110","18085","187","Kosciusko IN","IN- SOUTH BEND",16332,0.211,"Kosciusko","IN",5,0,77358,696079,6.4634556219137e-05,0,6.4634556219137,0
"1111","18087","187","Lagrange IN","IN- SOUTH BEND",5219,0.141,"LaGrange","IN",2,0,37128,696079,5.38677009265245e-05,0,5.38677009265245,0
"1112","18087","180","Lagrange IN","IN- FORT WAYNE",31909,0.859,"LaGrange","IN",2,0,37128,866605,5.38677009265245e-05,0,5.38677009265245,0
"1113","18089","181","Lake IN","IN- GARY",259609,0.523,"Lake","IN",180,6,496005,529009,0.000362899567544682,1.20966522514894e-05,36.2899567544682,1.20966522514894
"1114","18089","186","Lake IN","IN- MUNSTER",236396,0.477,"Lake","IN",180,6,496005,313527,0.000362899567544682,1.20966522514894e-05,36.2899567544682,1.20966522514894
"1115","18091","187","La Porte IN","IN- SOUTH BEND",59578,0.534,"LaPorte","IN",11,0,111467,696079,9.86839154189132e-05,0,9.86839154189132,0
"1116","18091","181","La Porte IN","IN- GARY",51889,0.466,"LaPorte","IN",11,0,111467,529009,9.86839154189132e-05,0,9.86839154189132,0
"1117","18093","183","Lawrence IN","IN- INDIANAPOLIS",46134,1,"Lawrence","IN",11,1,46134,2852404,0.000238435860753457,2.16759873412234e-05,23.8435860753457,2.16759873412234
"1118","18095","183","Madison IN","IN- INDIANAPOLIS",131636,1,"Madison","IN",46,2,131636,2852404,0.000349448479139445,1.51934121364976e-05,34.9448479139445,1.51934121364976
"1119","18097","183","Marion IN","IN- INDIANAPOLIS",903393,1,"Marion","IN",1117,21,903393,2852404,0.0012364496957581,2.32456970554343e-05,123.64496957581,2.32456970554343
"1120","18099","187","Marshall IN","IN- SOUTH BEND",47051,1,"Marshall","IN",3,0,47051,696079,6.37606001997832e-05,0,6.37606001997832,0
"1121","18101","179","Martin IN","IN- EVANSVILLE",5853,0.566,"0","0",0,0,10334,682402,0,0,0,0
"1122","18101","183","Martin IN","IN- INDIANAPOLIS",4481,0.434,"0","0",0,0,10334,2852404,0,0,0,0
"1123","18103","183","Miami IN","IN- INDIANAPOLIS",36278,0.983,"Miami","IN",3,0,36903,2852404,8.12942037232745e-05,0,8.12942037232745,0
"1124","18103","187","Miami IN","IN- SOUTH BEND",625,0.017,"Miami","IN",3,0,36903,696079,8.12942037232745e-05,0,8.12942037232745,0
"1125","18105","183","Monroe IN","IN- INDIANAPOLIS",137974,1,"Monroe","IN",33,0,137974,2852404,0.000239175496832737,0,23.9175496832737,0
"1126","18107","183","Montgomery IN","IN- INDIANAPOLIS",37101,0.973,"Montgomery","IN",6,0,38124,2852404,0.000157381177211206,0,15.7381177211206,0
"1127","18107","184","Montgomery IN","IN- LAFAYETTE",1023,0.027,"Montgomery","IN",6,0,38124,242737,0.000157381177211206,0,15.7381177211206,0
"1128","18109","183","Morgan IN","IN- INDIANAPOLIS",68894,1,"Morgan","IN",41,1,68894,2852404,0.00059511713647052,1.45150521090371e-05,59.511713647052,1.45150521090371
"1129","18111","173","Newton IN","IL- URBANA",2462,0.173,"Newton","IN",1,0,14244,450688,7.02049985959e-05,0,7.02049985959,0
"1130","18111","184","Newton IN","IN- LAFAYETTE",4918,0.345,"Newton","IN",1,0,14244,242737,7.02049985959e-05,0,7.02049985959,0
"1131","18111","181","Newton IN","IN- GARY",6864,0.482,"Newton","IN",1,0,14244,529009,7.02049985959e-05,0,7.02049985959,0
"1132","18113","180","Noble IN","IN- FORT WAYNE",37321,0.785,"Noble","IN",3,0,47536,866605,6.31100639515315e-05,0,6.31100639515315,0
"1133","18113","187","Noble IN","IN- SOUTH BEND",10215,0.215,"Noble","IN",3,0,47536,696079,6.31100639515315e-05,0,6.31100639515315,0
"1134","18115","327","Ohio IN","OH- CINCINNATI",6128,1,"Ohio","IN",1,0,6128,1674091,0.000163185378590078,0,16.3185378590078,0
"1135","18117","205","Orange IN","KY- LOUISVILLE",15078,0.76,"Orange","IN",3,0,19840,1761589,0.000151209677419355,0,15.1209677419355,0
"1136","18117","183","Orange IN","IN- INDIANAPOLIS",4762,0.24,"Orange","IN",3,0,19840,2852404,0.000151209677419355,0,15.1209677419355,0
"1137","18119","188","Owen IN","IN- TERRE HAUTE",2045,0.095,"Owen","IN",12,0,21575,183701,0.000556199304750869,0,55.6199304750869,0
"1138","18119","183","Owen IN","IN- INDIANAPOLIS",19530,0.905,"Owen","IN",12,0,21575,2852404,0.000556199304750869,0,55.6199304750869,0
"1139","18121","183","Parke IN","IN- INDIANAPOLIS",737,0.043,"0","0",0,0,17339,2852404,0,0,0,0
"1140","18121","188","Parke IN","IN- TERRE HAUTE",16602,0.957,"0","0",0,0,17339,183701,0,0,0,0
"1141","18123","179","Perry IN","IN- EVANSVILLE",19338,1,"0","0",0,0,19338,682402,0,0,0,0
"1142","18125","179","Pike IN","IN- EVANSVILLE",12845,1,"0","0",0,0,12845,682402,0,0,0,0
"1143","18127","181","Porter IN","IN- GARY",164343,1,"Porter","IN",27,0,164343,529009,0.000164290538690422,0,16.4290538690422,0
"1144","18129","179","Posey IN","IN- EVANSVILLE",25910,1,"Posey","IN",4,0,25910,682402,0.000154380548050946,0,15.4380548050946,0
"1145","18131","183","Pulaski IN","IN- INDIANAPOLIS",13402,1,"0","0",0,0,13402,2852404,0,0,0,0
"1146","18133","183","Putnam IN","IN- INDIANAPOLIS",37963,1,"Putnam","IN",11,1,37963,2852404,0.000289755814872376,2.63414377156705e-05,28.9755814872376,2.63414377156705
"1147","18135","183","Randolph IN","IN- INDIANAPOLIS",3258,0.124,"Randolph","IN",3,0,26171,2852404,0.000114630698100951,0,11.4630698100951,0
"1148","18135","185","Randolph IN","IN- MUNCIE",22913,0.876,"Randolph","IN",3,0,26171,168738,0.000114630698100951,0,11.4630698100951,0
"1149","18137","205","Ripley IN","KY- LOUISVILLE",9086,0.315,"Ripley","IN",33,1,28818,1761589,0.00114511763481158,3.47005343882296e-05,114.511763481158,3.47005343882296
"1150","18137","327","Ripley IN","OH- CINCINNATI",19732,0.685,"Ripley","IN",33,1,28818,1674091,0.00114511763481158,3.47005343882296e-05,114.511763481158,3.47005343882296
"1151","18139","183","Rush IN","IN- INDIANAPOLIS",17392,1,"Rush","IN",5,0,17392,2852404,0.000287488500459982,0,28.7488500459982,0
"1152","18141","187","St. Joseph IN","IN- SOUTH BEND",266931,1,"St. Joseph","IN",57,1,266931,696079,0.000213538330130258,3.7462864935133e-06,21.3538330130258,0.374628649351331
"1153","18143","205","Scott IN","KY- LOUISVILLE",24181,1,"Scott","IN",1,1,24181,1761589,4.1354782680617e-05,4.1354782680617e-05,4.1354782680617,4.1354782680617
"1154","18145","183","Shelby IN","IN- INDIANAPOLIS",44436,1,"Shelby","IN",19,0,44436,2852404,0.000427581240435683,0,42.7581240435683,0
"1155","18147","179","Spencer IN","IN- EVANSVILLE",13533,0.646,"0","0",0,0,20952,682402,0,0,0,0
"1156","18147","207","Spencer IN","KY- OWENSBORO",7419,0.354,"0","0",0,0,20952,145260,0,0,0,0
"1157","18149","181","Starke IN","IN- GARY",18953,0.811,"Starke","IN",1,0,23363,529009,4.28027222531353e-05,0,4.28027222531353,0
"1158","18149","187","Starke IN","IN- SOUTH BEND",4410,0.189,"Starke","IN",1,0,23363,696079,4.28027222531353e-05,0,4.28027222531353,0
"1159","18151","180","Steuben IN","IN- FORT WAYNE",34180,1,"Steuben","IN",2,0,34185,866605,5.85051923358198e-05,0,5.85051923358198,0
"1160","18151","238","Steuben IN","MI- KALAMAZOO",5,0,"Steuben","IN",2,0,34185,669114,5.85051923358198e-05,0,5.85051923358198,0
"1161","18153","188","Sullivan IN","IN- TERRE HAUTE",21475,1,"Sullivan","IN",3,0,21475,183701,0.000139697322467986,0,13.9697322467986,0
"1162","18155","327","Switzerland IN","OH- CINCINNATI",1710,0.161,"Switzerland","IN",3,0,10613,1674091,0.00028267219447847,0,28.267219447847,0
"1163","18155","205","Switzerland IN","KY- LOUISVILLE",8903,0.839,"Switzerland","IN",3,0,10613,1761589,0.00028267219447847,0,28.267219447847,0
"1164","18157","184","Tippecanoe IN","IN- LAFAYETTE",172780,1,"Tippecanoe","IN",18,1,172780,242737,0.000104178724389397,5.78770691052205e-06,10.4178724389397,0.578770691052205
"1165","18159","183","Tipton IN","IN- INDIANAPOLIS",15936,1,"Tipton","IN",5,0,15936,2852404,0.000313755020080321,0,31.3755020080321,0
"1166","18161","183","Union IN","IN- INDIANAPOLIS",7516,1,"0","0",0,0,7516,2852404,0,0,0,0
"1167","18163","179","Vanderburgh IN","IN- EVANSVILLE",179703,1,"Vanderburgh","IN",18,0,179703,682402,0.000100165272699955,0,10.0165272699955,0
"1168","18165","173","Vermillion IN","IL- URBANA",1485,0.092,"Vermillion","IN",1,0,16212,450688,6.16827041697508e-05,0,6.16827041697508,0
"1169","18165","188","Vermillion IN","IN- TERRE HAUTE",14727,0.908,"Vermillion","IN",1,0,16212,183701,6.16827041697508e-05,0,6.16827041697508,0
"1170","18167","188","Vigo IN","IN- TERRE HAUTE",107713,0.999,"Vigo","IN",9,2,107848,183701,8.34507825828944e-05,1.85446183517543e-05,8.34507825828944,1.85446183517543
"1171","18167","183","Vigo IN","IN- INDIANAPOLIS",135,0.001,"Vigo","IN",9,2,107848,2852404,8.34507825828944e-05,1.85446183517543e-05,8.34507825828944,1.85446183517543
"1172","18169","183","Wabash IN","IN- INDIANAPOLIS",2365,0.072,"Wabash","IN",1,0,32888,2852404,3.04062271953296e-05,0,3.04062271953296,0
"1173","18169","180","Wabash IN","IN- FORT WAYNE",30523,0.928,"Wabash","IN",1,0,32888,866605,3.04062271953296e-05,0,3.04062271953296,0
"1174","18171","184","Warren IN","IN- LAFAYETTE",8508,1,"Warren","IN",2,1,8508,242737,0.000235072872590503,0.000117536436295252,23.5072872590503,11.7536436295252
"1175","18173","179","Warrick IN","IN- EVANSVILLE",59689,1,"Warrick","IN",8,0,59689,682402,0.000134028045368493,0,13.4028045368493,0
"1176","18175","183","Washington IN","IN- INDIANAPOLIS",10,0,"Washington","IN",9,0,28262,2852404,0.000318448800509518,0,31.8448800509518,0
"1177","18175","205","Washington IN","KY- LOUISVILLE",28252,1,"Washington","IN",9,0,28262,1761589,0.000318448800509518,0,31.8448800509518,0
"1178","18177","183","Wayne IN","IN- INDIANAPOLIS",68917,1,"Wayne","IN",3,0,68917,2852404,4.3530623793839e-05,0,4.3530623793839,0
"1179","18179","183","Wells IN","IN- INDIANAPOLIS",837,0.03,"Wells","IN",2,0,27636,2852404,7.23693732812274e-05,0,7.23693732812274,0
"1180","18179","180","Wells IN","IN- FORT WAYNE",25963,0.939,"Wells","IN",2,0,27636,866605,7.23693732812274e-05,0,7.23693732812274,0
"1181","18179","185","Wells IN","IN- MUNCIE",836,0.03,"Wells","IN",2,0,27636,168738,7.23693732812274e-05,0,7.23693732812274,0
"1182","18181","183","White IN","IN- INDIANAPOLIS",17320,0.703,"White","IN",2,0,24643,2852404,8.11589498031895e-05,0,8.11589498031895,0
"1183","18181","184","White IN","IN- LAFAYETTE",7323,0.297,"White","IN",2,0,24643,242737,8.11589498031895e-05,0,8.11589498031895,0
"1184","18183","180","Whitley IN","IN- FORT WAYNE",33292,1,"Whitley","IN",3,0,33292,866605,9.01117385558092e-05,0,9.01117385558092,0
"1185","19001","192","Adair IA","IA- DES MOINES",7682,1,"Adair","IA",1,0,7682,1091747,0.000130174433741213,0,13.0174433741213,0
"1186","19003","192","Adams IA","IA- DES MOINES",3636,0.902,"0","0",0,0,4029,1091747,0,0,0,0
"1187","19003","278","Adams IA","NE- OMAHA",393,0.098,"0","0",0,0,4029,1302233,0,0,0,0
"1188","19005","448","Allamakee IA","WI- LA CROSSE",14330,1,"Allamakee","IA",7,1,14330,356614,0.000488485694347523,6.97836706210747e-05,48.8485694347523,6.97836706210747
"1189","19007","192","Appanoose IA","IA- DES MOINES",12887,1,"Appanoose","IA",1,0,12887,1091747,7.75975789555366e-05,0,7.75975789555366,0
"1190","19009","192","Audubon IA","IA- DES MOINES",5535,0.905,"Audubon","IA",1,0,6119,1091747,0.000163425396306586,0,16.3425396306586,0
"1191","19009","278","Audubon IA","NE- OMAHA",584,0.095,"Audubon","IA",1,0,6119,1302233,0.000163425396306586,0,16.3425396306586,0
"1192","19011","190","Benton IA","IA- CEDAR RAPIDS",26076,1,"Benton","IA",7,0,26076,301530,0.000268446080687222,0,26.8446080687222,0
"1193","19013","197","Black Hawk IA","IA- WATERLOO",131090,1,"Black Hawk","IA",7,0,131090,213653,5.33984285605309e-05,0,5.33984285605309,0
"1194","19015","192","Boone IA","IA- DES MOINES",26306,1,"Boone","IA",1,0,26306,1091747,3.80141412605489e-05,0,3.80141412605489,0
"1195","19017","197","Bremer IA","IA- WATERLOO",24276,1,"0","0",0,0,24276,213653,0,0,0,0
"1196","19019","197","Buchanan IA","IA- WATERLOO",18012,0.859,"Buchanan","IA",2,0,20958,213653,9.5428953144384e-05,0,9.5428953144384,0
"1197","19019","190","Buchanan IA","IA- CEDAR RAPIDS",2946,0.141,"Buchanan","IA",2,0,20958,301530,9.5428953144384e-05,0,9.5428953144384,0
"1198","19021","196","Buena Vista IA","IA- SIOUX CITY",18309,0.904,"0","0",0,0,20260,263271,0,0,0,0
"1199","19021","371","Buena Vista IA","SD- SIOUX FALLS",1951,0.096,"0","0",0,0,20260,773673,0,0,0,0
"1200","19023","195","Butler IA","IA- MASON CITY",3225,0.217,"Butler","IA",1,0,14867,132160,6.72630658505415e-05,0,6.72630658505415,0
"1201","19023","197","Butler IA","IA- WATERLOO",11642,0.783,"Butler","IA",1,0,14867,213653,6.72630658505415e-05,0,6.72630658505415,0
"1202","19025","192","Calhoun IA","IA- DES MOINES",9670,1,"0","0",0,0,9670,1091747,0,0,0,0
"1203","19027","278","Carroll IA","NE- OMAHA",1729,0.083,"Carroll","IA",1,0,20816,1302233,4.80399692544197e-05,0,4.80399692544197,0
"1204","19027","192","Carroll IA","IA- DES MOINES",19087,0.917,"Carroll","IA",1,0,20816,1091747,4.80399692544197e-05,0,4.80399692544197,0
"1205","19029","278","Cass IA","NE- OMAHA",13956,1,"0","0",0,0,13956,1302233,0,0,0,0
"1206","19031","194","Cedar IA","IA- IOWA CITY",9993,0.54,"Cedar","IA",9,0,18499,345868,0.000486512784474836,0,48.6512784474836,0
"1207","19031","190","Cedar IA","IA- CEDAR RAPIDS",5453,0.295,"Cedar","IA",9,0,18499,301530,0.000486512784474836,0,48.6512784474836,0
"1208","19031","191","Cedar IA","IA- DAVENPORT",3053,0.165,"Cedar","IA",9,0,18499,492280,0.000486512784474836,0,48.6512784474836,0
"1209","19033","195","Cerro Gordo IA","IA- MASON CITY",44151,1,"Cerro Gordo","IA",8,0,44151,132160,0.00018119634889357,0,18.119634889357,0
"1210","19035","196","Cherokee IA","IA- SIOUX CITY",12072,1,"0","0",0,0,12072,263271,0,0,0,0
"1211","19037","253","Chickasaw IA","MN- ROCHESTER",12439,1,"0","0",0,0,12439,416752,0,0,0,0
"1212","19039","192","Clarke IA","IA- DES MOINES",9286,1,"0","0",0,0,9286,1091747,0,0,0,0
"1213","19041","371","Clay IA","SD- SIOUX FALLS",16667,1,"Clay","IA",1,0,16667,773673,5.99988000239995e-05,0,5.99988000239995,0
"1214","19043","448","Clayton IA","WI- LA CROSSE",6006,0.331,"Clayton","IA",2,0,18129,356614,0.000110320480997297,0,11.0320480997297,0
"1215","19043","193","Clayton IA","IA- DUBUQUE",5545,0.306,"Clayton","IA",2,0,18129,157341,0.000110320480997297,0,11.0320480997297,0
"1216","19043","190","Clayton IA","IA- CEDAR RAPIDS",6578,0.363,"Clayton","IA",2,0,18129,301530,0.000110320480997297,0,11.0320480997297,0
"1217","19045","191","Clinton IA","IA- DAVENPORT",49116,1,"Clinton","IA",6,0,49116,492280,0.000122159784998778,0,12.2159784998778,0
"1218","19047","278","Crawford IA","NE- OMAHA",16551,0.968,"Crawford","IA",1,0,17096,1302233,5.84932147870847e-05,0,5.84932147870847,0
"1219","19047","192","Crawford IA","IA- DES MOINES",545,0.032,"Crawford","IA",1,0,17096,1091747,5.84932147870847e-05,0,5.84932147870847,0
"1220","19049","192","Dallas IA","IA- DES MOINES",66135,1,"Dallas","IA",27,0,66135,1091747,0.000408255840326605,0,40.8255840326605,0
"1221","19051","192","Davis IA","IA- DES MOINES",8753,1,"0","0",0,0,8753,1091747,0,0,0,0
"1222","19053","192","Decatur IA","IA- DES MOINES",8457,1,"0","0",0,0,8457,1091747,0,0,0,0
"1223","19055","190","Delaware IA","IA- CEDAR RAPIDS",16397,0.923,"0","0",0,0,17764,301530,0,0,0,0
"1224","19055","193","Delaware IA","IA- DUBUQUE",1367,0.077,"0","0",0,0,17764,157341,0,0,0,0
"1225","19057","191","Des Moines IA","IA- DAVENPORT",40325,1,"Des Moines","IA",2,0,40325,492280,4.95970241785493e-05,0,4.95970241785493,0
"1226","19059","371","Dickinson IA","SD- SIOUX FALLS",16667,1,"Dickinson","IA",1,0,16667,773673,5.99988000239995e-05,0,5.99988000239995,0
"1227","19061","193","Dubuque IA","IA- DUBUQUE",93653,1,"Dubuque","IA",22,1,93653,157341,0.000234909719923548,1.06777145419794e-05,23.4909719923548,1.06777145419794
"1228","19063","371","Emmet IA","SD- SIOUX FALLS",9044,0.878,"0","0",0,0,10302,773673,0,0,0,0
"1229","19063","251","Emmet IA","MN- MINNEAPOLIS",1258,0.122,"0","0",0,0,10302,3233450,0,0,0,0
"1230","19065","253","Fayette IA","MN- ROCHESTER",623,0.03,"Fayette","IA",2,0,20880,416752,9.57854406130268e-05,0,9.57854406130268,0
"1231","19065","448","Fayette IA","WI- LA CROSSE",10210,0.489,"Fayette","IA",2,0,20880,356614,9.57854406130268e-05,0,9.57854406130268,0
"1232","19065","197","Fayette IA","IA- WATERLOO",10047,0.481,"Fayette","IA",2,0,20880,213653,9.57854406130268e-05,0,9.57854406130268,0
"1233","19067","195","Floyd IA","IA- MASON CITY",5174,0.317,"0","0",0,0,16303,132160,0,0,0,0
"1234","19067","253","Floyd IA","MN- ROCHESTER",11129,0.683,"0","0",0,0,16303,416752,0,0,0,0
"1235","19069","192","Franklin IA","IA- DES MOINES",726,0.068,"0","0",0,0,10680,1091747,0,0,0,0
"1236","19069","195","Franklin IA","IA- MASON CITY",9686,0.907,"0","0",0,0,10680,132160,0,0,0,0
"1237","19069","197","Franklin IA","IA- WATERLOO",268,0.025,"0","0",0,0,10680,213653,0,0,0,0
"1238","19071","278","Fremont IA","NE- OMAHA",7441,1,"0","0",0,0,7441,1302233,0,0,0,0
"1239","19073","192","Greene IA","IA- DES MOINES",9336,1,"0","0",0,0,9336,1091747,0,0,0,0
"1240","19075","192","Grundy IA","IA- DES MOINES",1750,0.141,"0","0",0,0,12453,1091747,0,0,0,0
"1241","19075","197","Grundy IA","IA- WATERLOO",10703,0.859,"0","0",0,0,12453,213653,0,0,0,0
"1242","19077","192","Guthrie IA","IA- DES MOINES",10954,1,"Guthrie","IA",1,0,10954,1091747,9.12908526565638e-05,0,9.12908526565638,0
"1243","19079","192","Hamilton IA","IA- DES MOINES",15673,1,"0","0",0,0,15673,1091747,0,0,0,0
"1244","19081","195","Hancock IA","IA- MASON CITY",11341,1,"Hancock","IA",3,0,11341,132160,0.000264526937659818,0,26.4526937659818,0
"1245","19083","192","Hardin IA","IA- DES MOINES",15140,0.863,"Hardin","IA",1,0,17534,1091747,5.70320520132314e-05,0,5.70320520132314,0
"1246","19083","197","Hardin IA","IA- WATERLOO",2394,0.137,"Hardin","IA",1,0,17534,213653,5.70320520132314e-05,0,5.70320520132314,0
"1247","19085","278","Harrison IA","NE- OMAHA",14928,1,"Harrison","IA",10,0,14928,1302233,0.000669882100750268,0,66.9882100750268,0
"1248","19087","191","Henry IA","IA- DAVENPORT",3663,0.182,"Henry","IA",5,0,20145,492280,0.000248200546041201,0,24.8200546041201,0
"1249","19087","194","Henry IA","IA- IOWA CITY",16482,0.818,"Henry","IA",5,0,20145,345868,0.000248200546041201,0,24.8200546041201,0
"1250","19089","195","Howard IA","IA- MASON CITY",595,0.062,"0","0",0,0,9566,132160,0,0,0,0
"1251","19089","253","Howard IA","MN- ROCHESTER",8971,0.938,"0","0",0,0,9566,416752,0,0,0,0
"1252","19091","192","Humboldt IA","IA- DES MOINES",9815,1,"0","0",0,0,9815,1091747,0,0,0,0
"1253","19093","196","Ida IA","IA- SIOUX CITY",7089,1,"0","0",0,0,7089,263271,0,0,0,0
"1254","19095","190","Iowa IA","IA- CEDAR RAPIDS",8761,0.536,"Iowa","IA",5,0,16355,301530,0.00030571690614491,0,30.571690614491,0
"1255","19095","194","Iowa IA","IA- IOWA CITY",7594,0.464,"Iowa","IA",5,0,16355,345868,0.00030571690614491,0,30.571690614491,0
"1256","19097","193","Jackson IA","IA- DUBUQUE",7465,0.376,"Jackson","IA",1,0,19848,157341,5.03829101168884e-05,0,5.03829101168884,0
"1257","19097","191","Jackson IA","IA- DAVENPORT",12383,0.624,"Jackson","IA",1,0,19848,492280,5.03829101168884e-05,0,5.03829101168884,0
"1258","19099","192","Jasper IA","IA- DES MOINES",36842,1,"Jasper","IA",7,0,36842,1091747,0.000190000542858694,0,19.0000542858694,0
"1259","19101","194","Jefferson IA","IA- IOWA CITY",16843,1,"0","0",0,0,16843,345868,0,0,0,0
"1260","19103","190","Johnson IA","IA- CEDAR RAPIDS",4684,0.036,"Johnson","IA",76,0,130882,301530,0.000580675723170489,0,58.0675723170489,0
"1261","19103","194","Johnson IA","IA- IOWA CITY",126198,0.964,"Johnson","IA",76,0,130882,345868,0.000580675723170489,0,58.0675723170489,0
"1262","19105","190","Jones IA","IA- CEDAR RAPIDS",18610,0.902,"Jones","IA",4,0,20638,301530,0.000193817230351778,0,19.3817230351778,0
"1263","19105","191","Jones IA","IA- DAVENPORT",751,0.036,"Jones","IA",4,0,20638,492280,0.000193817230351778,0,19.3817230351778,0
"1264","19105","193","Jones IA","IA- DUBUQUE",1277,0.062,"Jones","IA",4,0,20638,157341,0.000193817230351778,0,19.3817230351778,0
"1265","19107","194","Keokuk IA","IA- IOWA CITY",10511,1,"Keokuk","IA",2,0,10511,345868,0.000190276852820854,0,19.0276852820854,0
"1266","19109","371","Kossuth IA","SD- SIOUX FALLS",1668,0.107,"Kossuth","IA",1,0,15543,773673,6.43376439554784e-05,0,6.43376439554784,0
"1267","19109","251","Kossuth IA","MN- MINNEAPOLIS",921,0.059,"Kossuth","IA",1,0,15543,3233450,6.43376439554784e-05,0,6.43376439554784,0
"1268","19109","195","Kossuth IA","IA- MASON CITY",12954,0.833,"Kossuth","IA",1,0,15543,132160,6.43376439554784e-05,0,6.43376439554784,0
"1269","19111","191","Lee IA","IA- DAVENPORT",566,0.016,"0","0",0,0,35862,492280,0,0,0,0
"1270","19111","194","Lee IA","IA- IOWA CITY",35296,0.984,"0","0",0,0,35862,345868,0,0,0,0
"1271","19113","190","Linn IA","IA- CEDAR RAPIDS",211226,1,"Linn","IA",94,2,211226,301530,0.000445020972796909,9.46853133610446e-06,44.5020972796909,0.946853133610446
"1272","19115","191","Louisa IA","IA- DAVENPORT",5612,0.493,"0","0",0,0,11387,492280,0,0,0,0
"1273","19115","194","Louisa IA","IA- IOWA CITY",5775,0.507,"0","0",0,0,11387,345868,0,0,0,0
"1274","19117","192","Lucas IA","IA- DES MOINES",8898,1,"0","0",0,0,8898,1091747,0,0,0,0
"1275","19119","371","Lyon IA","SD- SIOUX FALLS",11581,1,"0","0",0,0,11581,773673,0,0,0,0
"1276","19121","192","Madison IA","IA- DES MOINES",15679,1,"Madison","IA",1,0,15679,1091747,6.37795777791951e-05,0,6.37795777791951,0
"1277","19123","194","Mahaska IA","IA- IOWA CITY",468,0.021,"Mahaska","IA",2,0,22381,345868,8.9361511996783e-05,0,8.9361511996783,0
"1278","19123","192","Mahaska IA","IA- DES MOINES",21913,0.979,"Mahaska","IA",2,0,22381,1091747,8.9361511996783e-05,0,8.9361511996783,0
"1279","19125","192","Marion IA","IA- DES MOINES",33309,1,"0","0",0,0,33309,1091747,0,0,0,0
"1280","19127","192","Marshall IA","IA- DES MOINES",40648,1,"Marshall","IA",8,0,40648,1091747,0.000196811651249754,0,19.6811651249754,0
"1281","19129","278","Mills IA","NE- OMAHA",15059,1,"0","0",0,0,15059,1302233,0,0,0,0
"1282","19131","195","Mitchell IA","IA- MASON CITY",10776,1,"Mitchell","IA",2,0,10776,132160,0.000185597624350408,0,18.5597624350408,0
"1283","19133","278","Monona IA","NE- OMAHA",7480,0.809,"Monona","IA",5,0,9243,1302233,0.000540949908038516,0,54.0949908038516,0
"1284","19133","196","Monona IA","IA- SIOUX CITY",1763,0.191,"Monona","IA",5,0,9243,263271,0.000540949908038516,0,54.0949908038516,0
"1285","19135","192","Monroe IA","IA- DES MOINES",7970,1,"0","0",0,0,7970,1091747,0,0,0,0
"1286","19137","278","Montgomery IA","NE- OMAHA",10740,1,"Montgomery","IA",1,0,10740,1302233,9.31098696461825e-05,0,9.31098696461825,0
"1287","19139","194","Muscatine IA","IA- IOWA CITY",42042,0.984,"Muscatine","IA",18,1,42745,345868,0.0004211018832612,2.33945490700667e-05,42.11018832612,2.33945490700667
"1288","19139","191","Muscatine IA","IA- DAVENPORT",703,0.016,"Muscatine","IA",18,1,42745,492280,0.0004211018832612,2.33945490700667e-05,42.11018832612,2.33945490700667
"1289","19141","196","OBrien IA","IA- SIOUX CITY",12044,0.837,"0","0",0,0,14398,263271,0,0,0,0
"1290","19141","371","OBrien IA","SD- SIOUX FALLS",2354,0.163,"0","0",0,0,14398,773673,0,0,0,0
"1291","19143","371","Osceola IA","SD- SIOUX FALLS",6462,1,"0","0",0,0,6462,773673,0,0,0,0
"1292","19145","278","Page IA","NE- OMAHA",15932,1,"Page","IA",2,0,15932,1302233,0.000125533517449159,0,12.5533517449159,0
