"","county","hrr","cntyname","hrrname","pop10","afact","county.y","state","cases","deaths","countypop","hrrpop","countycaserate","countydeathrate","countycaserate100k","countydeathrate100k"
"39","01031","002","Coffee AL","AL- DOTHAN",49948,1,"0","0",0,0,49948,375802,0,0,0,0
"40","01033","001","Colbert AL","AL- BIRMINGHAM",54428,1,"Colbert","AL",4,0,54428,2276677,7.34915852134931e-05,0,7.34915852134931,0
"41","01035","007","Conecuh AL","AL- MONTGOMERY",8127,0.614,"Conecuh","AL",1,0,13228,473121,7.55972180223768e-05,0,7.55972180223768,0
"42","01035","134","Conecuh AL","FL- PENSACOLA",3253,0.246,"Conecuh","AL",1,0,13228,764431,7.55972180223768e-05,0,7.55972180223768,0
"43","01035","006","Conecuh AL","AL- MOBILE",1848,0.14,"Conecuh","AL",1,0,13228,826053,7.55972180223768e-05,0,7.55972180223768,0
"44","01037","007","Coosa AL","AL- MONTGOMERY",1509,0.131,"Coosa","AL",4,0,11539,473121,0.000346650489643817,0,34.6650489643817,0
"45","01037","001","Coosa AL","AL- BIRMINGHAM",10030,0.869,"Coosa","AL",4,0,11539,2276677,0.000346650489643817,0,34.6650489643817,0
"46","01039","002","Covington AL","AL- DOTHAN",9607,0.254,"Covington","AL",3,0,37765,375802,7.94386336555011e-05,0,7.94386336555011,0
"47","01039","134","Covington AL","FL- PENSACOLA",28158,0.746,"Covington","AL",3,0,37765,764431,7.94386336555011e-05,0,7.94386336555011,0
"48","01041","134","Crenshaw AL","FL- PENSACOLA",620,0.045,"Crenshaw","AL",1,0,13906,764431,7.19114051488566e-05,0,7.19114051488566,0
"49","01041","007","Crenshaw AL","AL- MONTGOMERY",13286,0.955,"Crenshaw","AL",1,0,13906,473121,7.19114051488566e-05,0,7.19114051488566,0
"50","01043","001","Cullman AL","AL- BIRMINGHAM",77622,0.965,"Cullman","AL",9,1,80406,2276677,0.000111931945377211,1.24368828196901e-05,11.1931945377211,1.24368828196901
"51","01043","005","Cullman AL","AL- HUNTSVILLE",2784,0.035,"Cullman","AL",9,1,80406,626099,0.000111931945377211,1.24368828196901e-05,11.1931945377211,1.24368828196901
"52","01045","002","Dale AL","AL- DOTHAN",50251,1,"Dale","AL",1,0,50251,375802,1.99001014905176e-05,0,1.99001014905176,0
"53","01047","001","Dallas AL","AL- BIRMINGHAM",43820,1,"Dallas","AL",3,0,43820,2276677,6.84618895481515e-05,0,6.84618895481515,0
"54","01049","373","DeKalb AL","TN- CHATTANOOGA",5937,0.083,"DeKalb","AL",6,0,71109,700134,8.43775049571784e-05,0,8.43775049571784,0
"55","01049","001","DeKalb AL","AL- BIRMINGHAM",65172,0.917,"DeKalb","AL",6,0,71109,2276677,8.43775049571784e-05,0,8.43775049571784,0
"56","01051","001","Elmore AL","AL- BIRMINGHAM",265,0.003,"Elmore","AL",15,0,79303,2276677,0.000189147951527685,0,18.9147951527685,0
"57","01051","007","Elmore AL","AL- MONTGOMERY",79038,0.997,"Elmore","AL",15,0,79303,473121,0.000189147951527685,0,18.9147951527685,0
"58","01053","134","Escambia AL","FL- PENSACOLA",38319,1,"Escambia","AL",1,0,38319,764431,2.60967144236541e-05,0,2.60967144236541,0
"59","01055","001","Etowah AL","AL- BIRMINGHAM",104430,1,"Etowah","AL",10,1,104430,2276677,9.57579239682084e-05,9.57579239682084e-06,9.57579239682084,0.957579239682084
"60","01057","009","Fayette AL","AL- TUSCALOOSA",15002,0.87,"Fayette","AL",1,0,17241,266186,5.80012760280726e-05,0,5.80012760280726,0
"61","01057","001","Fayette AL","AL- BIRMINGHAM",2239,0.13,"Fayette","AL",1,0,17241,2276677,5.80012760280726e-05,0,5.80012760280726,0
"62","01059","262","Franklin AL","MS- TUPELO",676,0.021,"Franklin","AL",3,0,31704,396259,9.46252838758516e-05,0,9.46252838758516,0
"63","01059","001","Franklin AL","AL- BIRMINGHAM",31028,0.979,"Franklin","AL",3,0,31704,2276677,9.46252838758516e-05,0,9.46252838758516,0
"64","01061","002","Geneva AL","AL- DOTHAN",26790,1,"0","0",0,0,26790,375802,0,0,0,0
"65","01063","001","Greene AL","AL- BIRMINGHAM",1955,0.216,"Greene","AL",4,0,9045,2276677,0.000442233278054174,0,44.2233278054174,0
"66","01063","009","Greene AL","AL- TUSCALOOSA",7090,0.784,"Greene","AL",4,0,9045,266186,0.000442233278054174,0,44.2233278054174,0
"67","01065","009","Hale AL","AL- TUSCALOOSA",15131,0.96,"Hale","AL",1,0,15760,266186,6.34517766497462e-05,0,6.34517766497462,0
"68","01065","001","Hale AL","AL- BIRMINGHAM",629,0.04,"Hale","AL",1,0,15760,2276677,6.34517766497462e-05,0,6.34517766497462,0
"69","01067","002","Henry AL","AL- DOTHAN",17302,1,"0","0",0,0,17302,375802,0,0,0,0
"70","01069","002","Houston AL","AL- DOTHAN",101547,1,"Houston","AL",9,1,101547,375802,8.86289107506869e-05,9.84765675007632e-06,8.86289107506869,0.984765675007632
"71","01071","373","Jackson AL","TN- CHATTANOOGA",15514,0.291,"Jackson","AL",8,1,53227,700134,0.000150299659947019,1.87874574933774e-05,15.0299659947019,1.87874574933774
"72","01071","005","Jackson AL","AL- HUNTSVILLE",37713,0.709,"Jackson","AL",8,1,53227,626099,0.000150299659947019,1.87874574933774e-05,15.0299659947019,1.87874574933774
"73","01073","001","Jefferson AL","AL- BIRMINGHAM",658466,1,"Jefferson","AL",305,4,658466,2276677,0.000463197796089699,6.07472519461901e-06,46.3197796089699,0.607472519461901
"74","01075","262","Lamar AL","MS- TUPELO",2151,0.148,"Lamar","AL",1,0,14564,396259,6.8662455369404e-05,0,6.8662455369404,0
"75","01075","001","Lamar AL","AL- BIRMINGHAM",808,0.055,"Lamar","AL",1,0,14564,2276677,6.8662455369404e-05,0,6.8662455369404,0
"76","01075","009","Lamar AL","AL- TUSCALOOSA",11605,0.797,"Lamar","AL",1,0,14564,266186,6.8662455369404e-05,0,6.8662455369404,0
"77","01077","001","Lauderdale AL","AL- BIRMINGHAM",92709,1,"Lauderdale","AL",12,1,92709,2276677,0.000129437271462318,1.07864392885265e-05,12.9437271462318,1.07864392885265
"78","01079","005","Lawrence AL","AL- HUNTSVILLE",4028,0.117,"Lawrence","AL",3,0,34339,626099,8.73642214391799e-05,0,8.73642214391799,0
"79","01079","001","Lawrence AL","AL- BIRMINGHAM",30311,0.883,"Lawrence","AL",3,0,34339,2276677,8.73642214391799e-05,0,8.73642214391799,0
"80","01081","146","Lee AL","GA- COLUMBUS",31670,0.226,"Lee","AL",83,2,140247,349248,0.000591813015608177,1.42605545929681e-05,59.1813015608177,1.42605545929681
"81","01081","001","Lee AL","AL- BIRMINGHAM",108577,0.774,"Lee","AL",83,2,140247,2276677,0.000591813015608177,1.42605545929681e-05,59.1813015608177,1.42605545929681
"82","01083","005","Limestone AL","AL- HUNTSVILLE",82782,1,"Limestone","AL",23,0,82782,626099,0.000277838177381556,0,27.7838177381556,0
"83","01085","001","Lowndes AL","AL- BIRMINGHAM",972,0.086,"Lowndes","AL",1,0,11299,2276677,8.85034073811842e-05,0,8.85034073811842,0
"84","01085","007","Lowndes AL","AL- MONTGOMERY",10327,0.914,"Lowndes","AL",1,0,11299,473121,8.85034073811842e-05,0,8.85034073811842,0
"85","01087","001","Macon AL","AL- BIRMINGHAM",17674,0.824,"Macon","AL",2,0,21452,2276677,9.3231400335633e-05,0,9.3231400335633,0
"86","01087","007","Macon AL","AL- MONTGOMERY",3778,0.176,"Macon","AL",2,0,21452,473121,9.3231400335633e-05,0,9.3231400335633,0
"87","01089","005","Madison AL","AL- HUNTSVILLE",334811,1,"Madison","AL",107,1,334811,626099,0.000319583287287455,2.98675969427528e-06,31.9583287287455,0.298675969427528
"88","01091","001","Marengo AL","AL- BIRMINGHAM",16529,0.786,"Marengo","AL",5,0,21027,2276677,0.000237789508726875,0,23.7789508726875,0
"89","01091","006","Marengo AL","AL- MOBILE",4498,0.214,"Marengo","AL",5,0,21027,826053,0.000237789508726875,0,23.7789508726875,0
"90","01093","001","Marion AL","AL- BIRMINGHAM",18943,0.616,"Marion","AL",11,2,30776,2276677,0.000357421367299194,6.4985703145308e-05,35.7421367299194,6.4985703145308
"91","01093","262","Marion AL","MS- TUPELO",11833,0.384,"Marion","AL",11,2,30776,396259,0.000357421367299194,6.4985703145308e-05,35.7421367299194,6.4985703145308
"92","01095","005","Marshall AL","AL- HUNTSVILLE",45333,0.487,"Marshall","AL",6,0,93019,626099,6.45029510100087e-05,0,6.45029510100087,0
"93","01095","001","Marshall AL","AL- BIRMINGHAM",47686,0.513,"Marshall","AL",6,0,93019,2276677,6.45029510100087e-05,0,6.45029510100087,0
"94","01097","006","Mobile AL","AL- MOBILE",412992,1,"Mobile","AL",57,3,412992,826053,0.00013801720130172,7.26406322640632e-06,13.801720130172,0.726406322640632
"95","01099","006","Monroe AL","AL- MOBILE",23050,0.999,"Monroe","AL",3,0,23068,826053,0.000130050286110629,0,13.0050286110629,0
"96","01099","001","Monroe AL","AL- BIRMINGHAM",18,0.001,"Monroe","AL",3,0,23068,2276677,0.000130050286110629,0,13.0050286110629,0
"97","01101","007","Montgomery AL","AL- MONTGOMERY",229363,1,"Montgomery","AL",35,1,229363,473121,0.000152596539110493,4.35990111744266e-06,15.2596539110493,0.435990111744266
"98","01103","001","Morgan AL","AL- BIRMINGHAM",39156,0.328,"Morgan","AL",20,0,119490,2276677,0.000167378023265545,0,16.7378023265545,0
"99","01103","005","Morgan AL","AL- HUNTSVILLE",80334,0.672,"Morgan","AL",20,0,119490,626099,0.000167378023265545,0,16.7378023265545,0
"100","01105","001","Perry AL","AL- BIRMINGHAM",10456,0.987,"0","0",0,0,10591,2276677,0,0,0,0
"101","01105","009","Perry AL","AL- TUSCALOOSA",135,0.013,"0","0",0,0,10591,266186,0,0,0,0
"102","01107","009","Pickens AL","AL- TUSCALOOSA",18700,0.947,"Pickens","AL",4,0,19746,266186,0.00020257267294642,0,20.257267294642,0
"103","01107","262","Pickens AL","MS- TUPELO",1046,0.053,"Pickens","AL",4,0,19746,396259,0.00020257267294642,0,20.257267294642,0
"104","01109","007","Pike AL","AL- MONTGOMERY",32899,1,"Pike","AL",7,0,32899,473121,0.00021277242469376,0,21.277242469376,0
"105","01111","144","Randolph AL","GA- ATLANTA",317,0.014,"Randolph","AL",5,0,22913,6243061,0.000218216732859076,0,21.8216732859076,0
"106","01111","001","Randolph AL","AL- BIRMINGHAM",22596,0.986,"Randolph","AL",5,0,22913,2276677,0.000218216732859076,0,21.8216732859076,0
"107","01113","146","Russell AL","GA- COLUMBUS",52947,1,"Russell","AL",2,0,52947,349248,3.77736226792831e-05,0,3.77736226792831,0
"108","01115","001","St. Clair AL","AL- BIRMINGHAM",83593,1,"St. Clair","AL",17,0,83593,2276677,0.000203366310576244,0,20.3366310576244,0
"109","01117","001","Shelby AL","AL- BIRMINGHAM",195085,1,"Shelby","AL",89,3,195085,2276677,0.000456211395032934,1.53779121921214e-05,45.6211395032934,1.53779121921214
"110","01119","260","Sumter AL","MS- MERIDIAN",11676,0.848,"Sumter","AL",3,0,13763,197862,0.000217975732035167,0,21.7975732035167,0
"111","01119","009","Sumter AL","AL- TUSCALOOSA",2087,0.152,"Sumter","AL",3,0,13763,266186,0.000217975732035167,0,21.7975732035167,0
"112","01121","001","Talladega AL","AL- BIRMINGHAM",82291,1,"Talladega","AL",8,0,82291,2276677,9.72159774458932e-05,0,9.72159774458932,0
"113","01123","007","Tallapoosa AL","AL- MONTGOMERY",6166,0.148,"Tallapoosa","AL",14,1,41616,473121,0.000336409073433295,2.40292195309496e-05,33.6409073433295,2.40292195309496
"114","01123","001","Tallapoosa AL","AL- BIRMINGHAM",35450,0.852,"Tallapoosa","AL",14,1,41616,2276677,0.000336409073433295,2.40292195309496e-05,33.6409073433295,2.40292195309496
"115","01125","009","Tuscaloosa AL","AL- TUSCALOOSA",184632,0.949,"Tuscaloosa","AL",30,0,194656,266186,0.000154118033864869,0,15.4118033864869,0
"116","01125","001","Tuscaloosa AL","AL- BIRMINGHAM",10024,0.051,"Tuscaloosa","AL",30,0,194656,2276677,0.000154118033864869,0,15.4118033864869,0
"117","01127","001","Walker AL","AL- BIRMINGHAM",67023,1,"Walker","AL",32,0,67023,2276677,0.000477448040224997,0,47.7448040224997,0
"118","01129","006","Washington AL","AL- MOBILE",17581,1,"Washington","AL",3,1,17581,826053,0.000170638757749844,5.68795859166145e-05,17.0638757749844,5.68795859166145
"119","01131","001","Wilcox AL","AL- BIRMINGHAM",7881,0.675,"Wilcox","AL",3,0,11670,2276677,0.00025706940874036,0,25.706940874036,0
"120","01131","006","Wilcox AL","AL- MOBILE",3789,0.325,"Wilcox","AL",3,0,11670,826053,0.00025706940874036,0,25.706940874036,0
"121","01133","001","Winston AL","AL- BIRMINGHAM",24484,1,"Winston","AL",2,0,24484,2276677,8.1685999019768e-05,0,8.1685999019768,0
"122","02013","010","Aleutians East Borough AK","AK- ANCHORAGE",3141,1,"0","0",0,0,3141,710231,0,0,0,0
"123","02016","010","Aleutians West Census Area AK","AK- ANCHORAGE",5561,1,"0","0",0,0,5561,710231,0,0,0,0
"124","02020","010","Anchorage Borough AK","AK- ANCHORAGE",291826,1,"Anchorage","AK",67,2,291826,710231,0.000229588864597397,6.85339894320588e-06,22.9588864597397,0.685339894320588
"125","02050","010","Bethel Census Area AK","AK- ANCHORAGE",17013,1,"0","0",0,0,17013,710231,0,0,0,0
"126","02060","010","Bristol Bay Borough AK","AK- ANCHORAGE",997,1,"0","0",0,0,997,710231,0,0,0,0
"127","02068","010","Denali Borough AK","AK- ANCHORAGE",1826,1,"0","0",0,0,1826,710231,0,0,0,0
"128","02070","010","Dillingham Census Area AK","AK- ANCHORAGE",4847,1,"0","0",0,0,4847,710231,0,0,0,0
"129","02090","010","Fairbanks North Star Borough AK","AK- ANCHORAGE",97581,1,"Fairbanks North Star Borough","AK",40,0,97581,710231,0.000409915864768756,0,40.9915864768756,0
"130","02100","010","Haines Borough AK","AK- ANCHORAGE",2508,1,"0","0",0,0,2508,710231,0,0,0,0
"131","02105","010","Hoonah-Angoon Census Area","AK- ANCHORAGE",2150,1,"0","0",0,0,2150,710231,0,0,0,0
"132","02110","010","Juneau Borough AK","AK- ANCHORAGE",31275,1,"Juneau City and Borough","AK",10,0,31275,710231,0.000319744204636291,0,31.9744204636291,0
"133","02122","010","Kenai Peninsula Borough AK","AK- ANCHORAGE",55400,1,"Kenai Peninsula Borough","AK",8,0,55400,710231,0.000144404332129964,0,14.4404332129964,0
"134","02130","010","Ketchikan Gateway Borough AK","AK- ANCHORAGE",13477,1,"Ketchikan Gateway Borough","AK",14,0,13477,710231,0.00103880685612525,0,103.880685612525,0
"135","02150","010","Kodiak Island Borough AK","AK- ANCHORAGE",13592,1,"0","0",0,0,13592,710231,0,0,0,0
"136","02164","010","Lake and Peninsula Borough AK","AK- ANCHORAGE",1631,1,"0","0",0,0,1631,710231,0,0,0,0
"137","02170","010","Matanuska-Susitna Borough AK","AK- ANCHORAGE",88995,1,"Matanuska-Susitna Borough","AK",4,0,88995,710231,4.49463453002978e-05,0,4.49463453002978,0
"138","02180","010","Nome Census Area AK","AK- ANCHORAGE",9492,1,"0","0",0,0,9492,710231,0,0,0,0
"139","02185","010","North Slope Borough AK","AK- ANCHORAGE",9430,1,"0","0",0,0,9430,710231,0,0,0,0
"140","02188","010","Northwest Arctic Borough AK","AK- ANCHORAGE",7523,1,"0","0",0,0,7523,710231,0,0,0,0
"141","02195","010","Petersburg Census Area","AK- ANCHORAGE",3815,1,"0","0",0,0,3815,710231,0,0,0,0
"142","02198","010","Prince of Wales-Hyder Census Area","AK- ANCHORAGE",5559,1,"0","0",0,0,5559,710231,0,0,0,0
"143","02220","010","Sitka Borough AK","AK- ANCHORAGE",8881,1,"0","0",0,0,8881,710231,0,0,0,0
"144","02230","010","Skagway Municipality","AK- ANCHORAGE",968,1,"0","0",0,0,968,710231,0,0,0,0
"145","02240","010","Southeast Fairbanks Census Area AK","AK- ANCHORAGE",7029,1,"0","0",0,0,7029,710231,0,0,0,0
"146","02261","010","Valdez-Cordova Census Area AK","AK- ANCHORAGE",9636,1,"0","0",0,0,9636,710231,0,0,0,0
"147","02270","010","Wade Hampton Census Area AK (D)","AK- ANCHORAGE",7459,1,"0","0",0,0,7459,710231,0,0,0,0
"148","02275","010","Wrangell City and Borough","AK- ANCHORAGE",2369,1,"0","0",0,0,2369,710231,0,0,0,0
"149","02282","010","Yakutat Borough","AK- ANCHORAGE",662,1,"0","0",0,0,662,710231,0,0,0,0
"150","02290","010","Yukon-Koyukuk Census Area AK","AK- ANCHORAGE",5588,1,"0","0",0,0,5588,710231,0,0,0,0
"151","04001","293","Apache AZ","NM- ALBUQUERQUE",52250,0.731,"Apache","AZ",17,0,71518,1729568,0.000237702396599457,0,23.7702396599457,0
"152","04001","012","Apache AZ","AZ- PHOENIX",19268,0.269,"Apache","AZ",17,0,71518,3373124,0.000237702396599457,0,23.7702396599457,0
"153","04003","015","Cochise AZ","AZ- TUCSON",131346,1,"Cochise","AZ",4,0,131346,1221007,3.04539156121998e-05,0,3.04539156121998,0
"154","04005","423","Coconino AZ","UT- SALT LAKE CITY",1412,0.011,"Coconino","AZ",85,3,134421,2034274,0.000632341672804101,2.23179413930859e-05,63.2341672804101,2.23179413930859
"155","04005","012","Coconino AZ","AZ- PHOENIX",133009,0.989,"Coconino","AZ",85,3,134421,3373124,0.000632341672804101,2.23179413930859e-05,63.2341672804101,2.23179413930859
"156","04007","012","Gila AZ","AZ- PHOENIX",52257,0.975,"Gila","AZ",1,0,53597,3373124,1.86577606955613e-05,0,1.86577606955613,0
"157","04007","015","Gila AZ","AZ- TUCSON",1340,0.025,"Gila","AZ",1,0,53597,1221007,1.86577606955613e-05,0,1.86577606955613,0
"158","04009","015","Graham AZ","AZ- TUCSON",32440,0.872,"Graham","AZ",2,0,37220,1221007,5.37345513164965e-05,0,5.37345513164965,0
"159","04009","012","Graham AZ","AZ- PHOENIX",4780,0.128,"Graham","AZ",2,0,37220,3373124,5.37345513164965e-05,0,5.37345513164965,0
"160","04011","015","Greenlee AZ","AZ- TUCSON",8437,1,"Greenlee","AZ",1,0,8437,1221007,0.000118525542254356,0,11.8525542254356,0
"161","04012","012","La Paz AZ","AZ- PHOENIX",20489,1,"La Paz","AZ",2,0,20489,3373124,9.76133535067597e-05,0,9.76133535067597,0
"162","04013","012","Maricopa AZ","AZ- PHOENIX",2324096,0.609,"Maricopa","AZ",871,8,3817117,3373124,0.000228182683423118,2.09582258023529e-06,22.8182683423118,0.209582258023529
"163","04013","011","Maricopa AZ","AZ- MESA",1199745,0.314,"Maricopa","AZ",871,8,3817117,1384107,0.000228182683423118,2.09582258023529e-06,22.8182683423118,0.209582258023529
"164","04013","015","Maricopa AZ","AZ- TUCSON",151,0,"Maricopa","AZ",871,8,3817117,1221007,0.000228182683423118,2.09582258023529e-06,22.8182683423118,0.209582258023529
"165","04013","014","Maricopa AZ","AZ- SUN CITY",293125,0.077,"Maricopa","AZ",871,8,3817117,298424,0.000228182683423118,2.09582258023529e-06,22.8182683423118,0.209582258023529
