"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date"
"91","129","FL- OCALA",529160,0,0,0,0,2020-01-21
"92","131","FL- ORMOND BEACH",383378,0,0,0,0,2020-01-21
"93","124","FL- LAKELAND",386176,0,0,0,0,2020-01-21
"94","122","FL- HUDSON",408247,0,0,0,0,2020-01-21
"95","141","FL- TAMPA",1385149,0,0,0,0,2020-01-21
"96","115","FL- BRADENTON",296705,0,0,0,0,2020-01-21
"97","116","FL- CLEARWATER",506206,0,0,0,0,2020-01-21
"98","139","FL- ST PETERSBURG",410319,0,0,0,0,2020-01-21
"99","149","GA- SAVANNAH",856153,0,0,0,0,2020-01-21
"100","142","GA- ALBANY",219645,0,0,0,0,2020-01-21
"101","147","GA- MACON",734927,0,0,0,0,2020-01-21
"102","145","GA- AUGUSTA",673766,0,0,0,0,2020-01-21
"103","150","HI- HONOLULU",1360301,0,0,0,0,2020-01-21
"104","151","ID- BOISE",883940,0,0,0,0,2020-01-21
"105","440","WA- SPOKANE",1515334,0,0,0,0,2020-01-21
"106","152","ID- IDAHO FALLS",238602,0,0,0,0,2020-01-21
"107","276","MT- MISSOULA",382740,0,0,0,0,2020-01-21
"108","172","IL- SPRINGFIELD",830634,0,0,0,0,2020-01-21
"109","263","MO- CAPE GIRARDEAU",264707,0,0,0,0,2020-01-21
"110","171","IL- ROCKFORD",735905,0,0,0,0,2020-01-21
"111","449","WI- MADISON",1093305,0,0,0,0,2020-01-21
"112","170","IL- PEORIA",615743,0,0,0,0,2020-01-21
"113","191","IA- DAVENPORT",492280,0,0,0,0,2020-01-21
"114","173","IL- URBANA",450688,0,0,0,0,2020-01-21
"115","188","IN- TERRE HAUTE",183701,0,0,0,0,2020-01-21
"116","155","IL- BLUE ISLAND",852099,0,0,0,0,2020-01-21
"117","156","IL- CHICAGO",2586419,0,0,0,0,2020-01-21
"118","158","IL- ELGIN",801491,0,0,0,0,2020-01-21
"119","161","IL- EVANSTON",912358,0,0,0,0,2020-01-21
"120","163","IL- HINSDALE",475308,0,0,0,0,2020-01-21
"121","164","IL- JOLIET",714644,0,0,0,0,2020-01-21
"122","166","IL- MELROSE PARK",1336480,0,0,0,0,2020-01-21
"123","186","IN- MUNSTER",313527,0,0,0,0,2020-01-21
"124","179","IN- EVANSVILLE",682402,0,0,0,0,2020-01-21
"125","154","IL- AURORA",343756,0,0,0,0,2020-01-21
"126","175","IL- BLOOMINGTON",205021,0,0,0,0,2020-01-21
"127","194","IA- IOWA CITY",345868,0,0,0,0,2020-01-21
"128","193","IA- DUBUQUE",157341,0,0,0,0,2020-01-21
"129","208","KY- PADUCAH",370644,0,0,0,0,2020-01-21
"130","451","WI- MILWAUKEE",2711686,0,0,0,0,2020-01-21
"131","264","MO- COLUMBIA",707702,0,0,0,0,2020-01-21
"132","180","IN- FORT WAYNE",866605,0,0,0,0,2020-01-21
"133","183","IN- INDIANAPOLIS",2852404,0,0,0,0,2020-01-21
"134","184","IN- LAFAYETTE",242737,0,0,0,0,2020-01-21
"135","185","IN- MUNCIE",168738,0,0,0,0,2020-01-21
"136","205","KY- LOUISVILLE",1761589,0,0,0,0,2020-01-21
"137","327","OH- CINCINNATI",1674091,0,0,0,0,2020-01-21
"138","187","IN- SOUTH BEND",696079,0,0,0,0,2020-01-21
"139","181","IN- GARY",529009,0,0,0,0,2020-01-21
