"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date"
"1","268","MO- KANSAS CITY",2481936,0.00484455496208541,0.000117798202676039,484.455496208541,11.7798202676039,2020-04-02
"2","297","NY- BRONX",1398749,0.00232073119862863,3.7912192588768e-05,232.073119862863,3.7912192588768,2020-04-02
"3","303","NY- NEW YORK",4981418,0.00411558632925133,0.00011788694571118,411.558632925133,11.788694571118,2020-04-02
"4","308","NY- WHITE PLAINS",1135283,0.0152559463191297,0.000125810485207077,1525.59463191297,12.5810485207077,2020-04-02
"5","301","NY- EAST LONG ISLAND",4728414,0.0149758708192727,0.000170014643135196,1497.58708192727,17.0014643135196,2020-04-02
"6","289","NJ- NEWARK",1534797,0.0079426299720889,0.000209514431791286,794.26299720889,20.9514431791286,2020-04-02
"7","007","AL- MONTGOMERY",473121,0.00150737814425368,7.9162256080232e-06,150.737814425368,0.79162256080232,2020-04-02
"8","001","AL- BIRMINGHAM",2276677,0.00873122518359092,0.000252542538996781,873.122518359092,25.2542538996781,2020-04-02
"9","134","FL- PENSACOLA",764431,0.00141539570337493,1.89622443460043e-05,141.539570337493,1.89622443460043,2020-04-02
"10","006","AL- MOBILE",826053,0.00143578467125408,7.8519346756062e-05,143.578467125408,7.8519346756062,2020-04-02
"11","002","AL- DOTHAN",375802,0.00701792119012067,0.00010069068000589,701.792119012067,10.069068000589,2020-04-02
"12","009","AL- TUSCALOOSA",266186,0.00125890015174874,0,125.890015174874,0,2020-04-02
"13","144","GA- ATLANTA",6243061,0.0175102540140106,0.000659660840839281,1751.02540140106,65.9660840839281,2020-04-02
"14","148","GA- ROME",289908,0.00233608494082569,4.59287682849416e-05,233.608494082569,4.59287682849416,2020-04-02
"15","260","MS- MERIDIAN",197862,0.00240849477453404,0,240.849477453404,0,2020-04-02
"16","005","AL- HUNTSVILLE",626099,0.00101901648872139,1.6742357955769e-05,101.901648872139,1.6742357955769,2020-04-02
"17","373","TN- CHATTANOOGA",700134,0.00150204185748343,4.85938682503723e-05,150.204185748343,4.85938682503723,2020-04-02
"18","262","MS- TUPELO",396259,0.00374901453084548,0.000171864827903078,374.901453084548,17.1864827903077,2020-04-02
"19","146","GA- COLUMBUS",349248,0.00185191799098488,4.83432800701619e-06,185.191799098488,0.483432800701619,2020-04-02
"20","010","AK- ANCHORAGE",710231,0.00238343046468914,6.85339894320588e-06,238.343046468914,0.685339894320588,2020-04-02
"21","293","NM- ALBUQUERQUE",1729568,0.00430170381408708,6.11563749885169e-05,430.170381408708,6.11563749885169,2020-04-02
"22","012","AZ- PHOENIX",3373124,0.00267773521624621,6.95511468351322e-05,267.773521624621,6.95511468351322,2020-04-02
