"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date","hrrcases","hrrdeaths","casegrowthrate","deathgrowthrate"
"58","083","CA- SAN LUIS OBISPO",251067,0,0,0,0,2020-01-21,0,0,1.02158483726648,32.4938486142938
"59","087","CA- SANTA CRUZ",275890,0,0,0,0,2020-01-21,0,0,1.05180651272578,1.00539335835645
"60","069","CA- PALM SPR/RANCHO MIR.",342069,0,0,0,0,2020-01-21,0,0,1.16277901493144,1.21005103955154
"61","082","CA- SAN JOSE",1761797,0,0,0,0,2020-01-21,0,0,1.05142087556234,1.03827429164028
"62","086","CA- SANTA BARBARA",443159,0,0,0,0,2020-01-21,0,0,1.09812047467458,1.15315841025912
"63","085","CA- SAN MATEO CO.",797525,0,0,0,0,2020-01-21,0,0,1.04524698827349,1.08231758471632
"64","103","CO- DENVER",2853117,0,0,0,0,2020-01-21,0,0,1.08987870876964,1.22134394508395
"65","106","CO- GREELEY",357920,0,0,0,0,2020-01-21,0,0,1.11110683989164,1.18628667478665
"66","102","CO- COLORADO SPRINGS",829912,0,0,0,0,2020-01-21,0,0,1.06387246205807,1.12572033519631
"67","101","CO- BOULDER",308518,0,0,0,0,2020-01-21,0,0,1.09308705548094,1.29073420492319
"68","107","CO- PUEBLO",173208,0,0,0,0,2020-01-21,0,0,1.0377623840345,1.06671402220364
"69","105","CO- GRAND JUNCTION",337595,0,0,0,0,2020-01-21,0,0,1.03974448312192,1.14351387029029
"70","104","CO- FORT COLLINS",335380,0,0,0,0,2020-01-21,0,0,1.04809078913417,1.04081632653061
"71","201","KS- WICHITA",1276737,0,0,0,0,2020-01-21,0,0,1.1504396605025,1.70476028979272
"72","109","CT- BRIDGEPORT",682421,0,0,0,0,2020-01-21,0,0,1.1294768506096,1.23876288845635
"73","111","CT- NEW HAVEN",1482374,0,0,0,0,2020-01-21,0,0,1.183430168589,1.47065916370051
"74","110","CT- HARTFORD",1510786,0,0,0,0,2020-01-21,0,0,1.18884012419207,1.4136386550731
"75","230","MA- SPRINGFIELD",744460,0,0,0,0,2020-01-21,0,0,1.13390245049499,1.2606967392742
"76","364","RI- PROVIDENCE",1228881,0,0,0,0,2020-01-21,0,0,1.18113745182917,1.34393789174862
"77","112","DE- WILMINGTON",796103,0,0,0,0,2020-01-21,0,0,1.26270353325554,1.12862662322913
"78","225","MD- SALISBURY",443452,0,0,0,0,2020-01-21,0,0,1.28132749993658,1.23697534188453
"79","356","PA- PHILADELPHIA",4185432,0,0,0,0,2020-01-21,0,0,1.19914967917938,1.65775193261682
"80","113","DC- WASHINGTON",2617594,0,0,0,0,2020-01-21,0,0,1.21335135364085,1.3259928134709
"81","226","MD- TAKOMA PARK",960715,0,0,0,0,2020-01-21,0,0,1.24866439242672,1.45897159031855
"82","120","FL- GAINESVILLE",567547,0,0,0,0,2020-01-21,0,0,1.15976515728044,1.01511310195461
